Micros,Voltage,Pack SoC,DCL,Failsafe,DTC1,DTC2,Temperature High,PC,Torque,RPM,Motor_temp,Controller_temp,time_interval,input_power,output_power,speed,motor_efficiency,E_remaining,E_per_km
69204076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
69723077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
70242076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
70761077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
71280078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
71799075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
72316078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.517003,0.00573,0.0,0.0,0.0,8.459999999999999,
72835075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
73354078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
73873075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
74392076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
74911077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
75430078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
75949077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
76468076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
77047077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.579001,0.00573,0.0,0.0,0.0,8.459999999999999,
77566076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
78085075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
78604078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
79123077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
79642078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
80161077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
80680076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
81199075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
81721078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.522003,0.00573,0.0,0.0,0.0,8.459999999999999,
82240075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
82759078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
83278077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
83797076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
84316077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
84835078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
85354077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
85873076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
86394075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.520999,0.00573,0.0,0.0,0.0,8.459999999999999,
